mes,psi,ks,auc,nivel_alerta,resumo_executivo,causa_provavel,recomendacao,cor_alerta
11,0.0183,0.4074,0.7642,normal,"O modelo apresentou desempenho estável e satisfatório no mês 11. O PSI de 0.018 indica que o perfil da população de solicitantes praticamente não mudou em relação à amostra de desenvolvimento — dentro da faixa de normalidade (abaixo de 0.10). Mais importante, as métricas de discriminação do modelo melhoraram: o KS subiu de 0.346 (mês 10) para 0.407, e o AUC avançou de 0.727 para 0.764, ambos os melhores valores dos últimos quatro meses. Não há sinal de deterioração do modelo; pelo contrário, o poder de separação entre bons e maus pagadores está em trajetória de recuperação após queda observada entre os meses 8 e 10.","A melhora no KS e AUC no mês 11 pode refletir uma composição de safra mais próxima ao perfil original de treinamento do modelo, favorecendo seu poder preditivo. A leve queda contínua no KS entre os meses 8 e 10 (0.382 → 0.369 → 0.346) havia sinalizado possível drift gradual de desempenho, mas o mês 11 reverte essa tendência sem alteração expressiva na distribuição de score (PSI baixo), sugerindo que a variação anterior foi pontual e não estrutural.",,Verde
12,0.0069,0.4035,0.7525,normal,"O modelo de score apresenta desempenho estável e saudável no mês 12. O PSI de 0.007 indica que a distribuição dos scores da carteira atual é praticamente idêntica à da base de desenvolvimento — sem sinais de mudança relevante de perfil da população. O poder discriminante do modelo se mantém em bom nível: o KS de 0.403 e o AUC de 0.752 estão em linha com os meses anteriores e ligeiramente acima da média recente, o que indica que o modelo continua separando bem bons e maus pagadores. Não há ação corretiva necessária neste momento.","As métricas do mês 12 refletem estabilidade consistente com o histórico recente. O PSI permanece muito abaixo do limiar de atenção (0.10) nos quatro meses analisados (máximo histórico de 0.028 no mês 9). O KS e o AUC apresentam leve tendência de alta em relação ao mês 10, recuperando o patamar do mês 11 e sem sinalizar degradação. Não há evidência de drift de população nem de deterioração do poder preditivo do modelo.","Manter o ciclo de monitoramento mensal padrão. Nenhuma intervenção técnica é necessária. Recomenda-se continuar acompanhando a evolução do KS e do AUC nos próximos meses, dado que o histórico ainda é curto (4 meses), para consolidar a linha de base de desempenho do modelo e definir thresholds de alerta mais calibrados à realidade desta carteira.",Verde
13,0.9948,0.4441,0.7686,critico,"No mês 13, o modelo apresenta PSI de 0.995, nível extremamente acima do limiar crítico de 0.25, indicando uma ruptura severa no perfil da população sendo pontuada em relação à população de desenvolvimento. Em contrapartida, as métricas de desempenho discriminante se mantiveram estáveis ou até melhoraram: o KS subiu de 0.403 (mês 12) para 0.444, e o AUC passou de 0.752 para 0.769 — ambos em patamares saudáveis e acima do histórico recente. Isso significa que, embora a composição da carteira tenha mudado drasticamente, o modelo ainda consegue separar bem bons e maus pagadores. A situação exige investigação imediata sobre a origem dessa mudança de população, mas não há evidência de falha na capacidade preditiva do modelo.","A dissociação entre PSI crítico e AUC/KS estáveis aponta fortemente para uma mudança na composição da população originada (e.g., novo canal de aquisição, campanha comercial atípica, alteração em políticas de crédito ou fusão de portfólios), e não para degradação interna do modelo. É improvável que o modelo tenha se tornado inadequado — o mais provável é que ele esteja sendo aplicado a um perfil de clientes substancialmente diferente daquele para o qual foi desenvolvido.",,Vermelho
14,1.0909,0.4518,0.7626,critico,"No mês 14, o modelo apresenta PSI de 1,091 — nível extremamente elevado e muito acima do limiar crítico de 0,25. Esse comportamento não é isolado: o PSI já havia disparado no mês 13 (0,995), sinalizando uma ruptura estrutural na população analisada que persiste e se agrava. Por outro lado, as métricas de desempenho discriminante do modelo (KS = 0,452 e AUC = 0,763) permanecem estáveis e em linha com os meses anteriores, indicando que o modelo ainda consegue separar bons e maus pagadores dentro da população que está recebendo. A combinação de PSI crítico com KS/AUC estáveis sugere que o modelo não está ""quebrado"", mas está sendo aplicado a uma população significativamente diferente daquela usada em seu desenvolvimento. Isso requer atenção imediata de negócio e de modelagem.","A elevação abrupta e sustentada do PSI a partir do mês 13 aponta para uma mudança estrutural no perfil da população entrante. As hipóteses mais prováveis são: (1) alteração relevante na política de originação ou no canal de captação, ampliando ou restringindo o perfil de clientes que chegam ao modelo; (2) mudança no mix de produtos ou segmentos avaliados; (3) evento macroeconômico ou sazonalidade intensa que alterou o comportamento das variáveis de entrada do modelo. O fato de KS e AUC se manterem estáveis reforça que o problema está na distribuição da população, não na lógica interna do modelo.",,Vermelho
15,0.9322,0.4046,0.7617,critico,"O modelo de score apresenta PSI de 0,932 no mês 15, nível extremamente acima do limiar crítico de 0,25 — padrão que persiste desde o mês 13 (PSI de 0,994) e mês 14 (PSI de 1,091). Em contrapartida, as métricas de poder discriminante do modelo seguem estáveis: o KS permanece na faixa de 0,40–0,45 e o AUC em torno de 0,76 ao longo de todo o período analisado. Ou seja, o modelo continua distinguindo bem bons e maus pagadores, mas a população que está sendo avaliada hoje é significativamente diferente da população usada no desenvolvimento do modelo.","A dissociação entre PSI extremamente elevado (acima de 0,90 por três meses consecutivos) e métricas de discriminação estáveis (KS e AUC sem queda relevante) aponta fortemente para uma mudança estrutural no perfil da carteira de entrada — e não para deterioração do modelo em si. Possíveis causas incluem: (1) alteração relevante na política de aquisição ou no canal de originação de clientes; (2) mudança no mix de produtos ou público-alvo atendido; (3) efeito de sazonalidade ou evento macroeconômico que alterou o perfil dos solicitantes de crédito a partir do mês 13. O salto abrupto do PSI entre os meses 12 (0,007) e 13 (0,994) reforça que houve uma ruptura pontual e não uma deriva gradual.",,Vermelho
16,1.0988,0.4273,0.7617,critico,"O modelo apresenta PSI de 1.099 no mês 16, muito acima do limite crítico de 0.25, e esse padrão se repete nos últimos 4 meses (variando entre 0.93 e 1.10). Isso indica que a população sendo pontuada hoje é estruturalmente diferente da população usada no desenvolvimento do modelo. Por outro lado, as métricas de desempenho discriminante (KS = 0.427 e AUC = 0.762) permanecem estáveis e em nível satisfatório, sem queda relevante no período analisado. O modelo ainda distingue bem bons e maus pagadores, mas está operando sobre uma base de clientes com perfil diferente do original — o que compromete a calibração dos scores e pode distorcer decisões baseadas em faixas de corte absolutas.","A divergência persistente e elevada no PSI (acima de 0.90 nos últimos 4 meses), combinada com a estabilidade do KS e da AUC, aponta para uma mudança estrutural no perfil da população entrante — e não para deterioração do poder preditivo do modelo em si. As causas mais prováveis incluem: (1) mudança no mix de canais de originação ou campanhas comerciais que atraíram um perfil distinto de clientes; (2) alterações macroeconômicas ou sazonais que modificaram o comportamento de solicitação de crédito; (3) mudanças em regras de pré-seleção ou política de crédito upstream que filtraram a entrada de determinados perfis. A ausência de degradação no KS/AUC descarta, por ora, falha técnica do modelo.",,Vermelho
17,0.9268,0.3851,0.7511,critico,"O modelo de score apresenta situação de alerta crítico no mês 17. O PSI atingiu 0.927, valor muito acima do limiar crítico de 0.25, e esse padrão se repete há pelo menos 4 meses consecutivos (PSI entre 0.93 e 1.10 desde o mês 14). Isso indica que a população sendo pontuada hoje é sistematicamente diferente da população usada no treinamento do modelo. Adicionalmente, as métricas de discriminação (KS e AUC) mostram queda consistente: o KS recuou de 0.452 no mês 14 para 0.385 no mês 17, e a AUC caiu de 0.763 para 0.751 no mesmo período. Embora o modelo ainda discrimine acima de níveis aceitáveis, a tendência de deterioração combinada com o PSI estruturalmente elevado configura um cenário de risco relevante que requer ação imediata.","A combinação de PSI cronicamente elevado (acima de 0.90 por 4 meses consecutivos) com queda gradual de KS e AUC sugere duas causas sobrepostas: (1) mudança estrutural no perfil da carteira de solicitantes — possivelmente por alteração em canais de originação, campanhas comerciais ou mudanças macroeconômicas — que deslocou a distribuição dos scores para fora da faixa observada no desenvolvimento do modelo; e (2) início de degradação real do poder preditivo, evidenciada pela queda de 6.7 pontos percentuais no KS ao longo dos últimos 4 meses, indicando que as variáveis do modelo estão perdendo relação com o comportamento de inadimplência na população atual.",,Vermelho
18,1.1312,0.415,0.7713,critico,"O modelo apresenta PSI de 1,131 no mês 18, muito acima do limiar crítico de 0,25, e esse comportamento não é novo: os quatro últimos meses registram PSI acima de 0,90, o que indica uma mudança estrutural e persistente no perfil da população avaliada. Apesar disso, as métricas de desempenho discriminante (KS = 0,415 e AUC = 0,771) permanecem estáveis e em linha com o histórico recente, sinalizando que o modelo ainda diferencia bons e maus pagadores com eficácia. O problema, portanto, não é de falha do modelo em si, mas de desalinhamento entre a população para a qual ele foi desenvolvido e a população atual que está sendo avaliada.","A combinação de PSI cronicamente elevado com KS e AUC estáveis aponta para uma mudança de composição da carteira (data drift), e não para deterioração do modelo. As hipóteses mais prováveis são: (1) alteração no perfil socioeconômico dos solicitantes, como entrada de novos segmentos ou mudança no canal de originação; (2) mudanças macroeconômicas que alteraram o comportamento de variáveis de entrada (renda, endividamento, histórico de crédito); (3) ajustes em políticas comerciais ou de crédito que modificaram o público que chega ao modelo. A persistência do fenômeno por pelo menos 4 meses consecutivos descarta uma anomalia pontual.",,Vermelho
19,0.8501,0.4275,0.7677,critico,"O modelo de score apresenta PSI de 0.850 no mês 19, muito acima do limiar crítico de 0.25. Esse padrão é consistente com os últimos 3 meses, onde o PSI oscilou entre 0.93 e 1.13 — sinalizando que a população de clientes que chega ao modelo é estruturalmente diferente da população usada no desenvolvimento. Por outro lado, as métricas de desempenho preditivo (KS e AUC) permaneceram estáveis: o KS de 0.427 está no nível mais alto dos últimos 4 meses, e o AUC de 0.768 está dentro da faixa histórica recente (0.751–0.771). Isso indica que, apesar da forte deriva de população, o modelo ainda consegue separar bons e maus pagadores com eficácia semelhante à observada nos meses anteriores. O risco imediato de decisões erradas por perda de poder discriminante é baixo, mas a situação exige investigação e ação estruturada, pois operar com PSI tão elevado por 4 meses consecutivos não é sustentável.","A deriva de população (PSI crônico e elevado) provavelmente reflete mudanças no perfil dos clientes que chegam ao modelo — por exemplo: alterações em canais de originação, mudanças em campanhas comerciais, sazonalidade de safra ou impactos macroeconômicos que alteraram o comportamento de aplicação de crédito. A estabilidade do KS e do AUC descarta falha interna do modelo como causa imediata, mas não exclui a possibilidade de que o modelo esteja ""funcionando bem por acaso"" em um contexto muito diferente do original, com risco crescente de deterioração futura.",,Vermelho
20,0.8414,0.413,0.7615,critico,"O modelo de score apresenta PSI de 0,841 no mês 20, muito acima do limiar crítico de 0,25. Esse nível de PSI está em linha com o histórico recente (meses 17 a 19 também registraram PSI acima de 0,25), indicando que a instabilidade populacional é um padrão persistente, não um evento isolado. Como ponto positivo relevante, as métricas de discriminação do modelo permanecem saudáveis e estáveis: o KS (0,413) e o AUC (0,761) do mês 20 estão dentro da variação histórica dos últimos três meses (KS entre 0,385 e 0,427; AUC entre 0,751 e 0,771), sem sinais de deterioração do poder preditivo. O modelo continua separando bem bons e maus pagadores, mas está sendo aplicado a uma população com perfil sistematicamente diferente daquela usada em seu desenvolvimento.","A dissociação entre PSI elevado e crônico (acima de 0,84 nos últimos quatro meses) e métricas de discriminação estáveis aponta para uma mudança estrutural no perfil da população entrante em relação à amostra de desenvolvimento do modelo. Possíveis causas incluem: (1) alteração no mix de canais de originação ou campanhas comerciais que atraem um perfil diferente de clientes; (2) mudanças macroeconômicas ou regulatórias que afetaram o comportamento ou composição da base; (3) sazonalidade ou expansão para novos segmentos/regiões não representados na base de desenvolvimento.",,Vermelho
21,0.9093,0.4177,0.7695,critico,"O modelo apresenta PSI de 0.909 no mês 21, muito acima do limite crítico de 0.25, mantendo padrão preocupante observado desde o mês 18 (PSI > 0.84 nos últimos 4 meses). Apesar disso, o poder discriminante do modelo permanece estável: o KS está em 0.418 e o AUC em 0.769, ambos dentro da faixa histórica recente (KS entre 0.413 e 0.427; AUC entre 0.761 e 0.771). O modelo ainda diferencia bons e maus pagadores com eficácia, mas a população que está sendo pontuada mudou significativamente em relação à base de desenvolvimento.","A dissociação entre PSI crítico e KS/AUC estáveis aponta para uma mudança estrutural no perfil da carteira — e não para degradação do modelo em si. Possíveis causas incluem: (1) alteração no perfil socioeconômico dos solicitantes, por exemplo devido a mudanças em canais de aquisição ou campanhas comerciais; (2) sazonalidade ou choque macroeconômico que deslocou a distribuição de variáveis de entrada; (3) mudanças em políticas de crédito que filtraram ou atraíram um perfil diferente de clientes. O fato de o PSI elevado persistir há pelo menos 4 meses consecutivos reforça que se trata de uma mudança permanente, e não pontual.",,Vermelho
22,0.9363,0.4872,0.8042,critico,"O modelo de score apresenta PSI de 0.936 no mês 22, nível extremamente elevado (limiar crítico: 0.25), e que se mantém acima do patamar crítico pelos últimos 4 meses consecutivos (mínimo de 0.841 no período). Apesar disso, as métricas de desempenho discriminante — KS (0.487) e AUC (0.804) — não apenas se mantiveram estáveis, como apresentaram melhora em relação aos meses anteriores (KS médio de ~0.42 e AUC média de ~0.77 nos meses 19–21). Isso indica que o modelo continua separando bem bons e maus pagadores, mas está sendo aplicado sobre uma população com perfil significativamente diferente da base de desenvolvimento. O modelo não falhou, mas opera fora do domínio para o qual foi construído.","A divergência persistente e crescente entre a população atual e a população de desenvolvimento (refletida pelo PSI cronicamente acima de 0.84) sugere uma mudança estrutural no perfil dos clientes que entram no modelo — possivelmente decorrente de alterações na estratégia de originação, mudanças no mix de canais de aquisição, sazonalidade de longo prazo ou transformações macroeconômicas que alteraram o comportamento da carteira. O fato de KS e AUC terem se mantido sólidos descarta deterioração do poder preditivo, apontando exclusivamente para deslocamento populacional (population shift) e não para falha do modelo em si.",,Vermelho
23,0.9191,0.3739,0.7429,critico,"O modelo de score apresenta situação crítica no mês 23. O PSI atingiu 0.919 — mais de três vezes acima do limite crítico de 0.25 —, indicando que o perfil da população atual é drasticamente diferente daquele usado no desenvolvimento do modelo. Mais grave ainda, houve queda simultânea no KS (de 0.487 no mês 22 para 0.374 no mês 23) e no AUC (de 0.804 para 0.743), o que sinaliza perda real de poder discriminante: o modelo está separando mal os bons dos maus pagadores. A combinação de PSI extremamente elevado com deterioração das métricas de desempenho configura o cenário de maior risco possível para um modelo em produção.","A degradação é consistente com uma mudança estrutural na população de clientes que, além de alterar o perfil das variáveis de entrada (refletido no PSI elevado e crescente desde o mês 20), passou a comprometer a capacidade preditiva do modelo. Possíveis causas incluem: (1) mudança no mix de canais de originação ou perfil de campanha, trazendo um segmento de clientes não representado nos dados de treinamento; (2) alteração no comportamento de crédito da carteira por fatores macroeconômicos — como elevação de inadimplência sistêmica — que invalidam os padrões aprendidos pelo modelo; (3) mudanças em variáveis-chave do score (bureau, renda, tempo de relacionamento) cujas distribuições se afastaram significativamente do período de desenvolvimento. O fato de o PSI já estar acima de 0.84 desde o mês 20 indica que o problema não é pontual, mas um processo contínuo de deterioração que atingiu agora o limiar de impacto em desempenho.",,Vermelho
24,0.981,0.3955,0.7632,critico,"O modelo de score apresenta situação crítica no mês 24. O PSI atingiu 0.981, muito acima do limite crítico de 0.25, indicando que o perfil da população que está sendo pontuada hoje é drasticamente diferente da população usada no desenvolvimento do modelo. Esse padrão não é novo: o PSI já vinha em níveis extremamente elevados nos últimos 3 meses (entre 0.91 e 0.94), sinalizando uma deterioração estrutural e persistente na aderência do modelo. Adicionalmente, o KS caiu de 0.487 (mês 22) para 0.395 no mês atual, e o AUC recuou de 0.804 para 0.763 no mesmo período, confirmando que o modelo também perdeu poder de separar bons e maus pagadores. A combinação de PSI crítico com queda nas métricas discriminantes (KS e AUC) representa o cenário de maior gravidade no monitoramento de modelos, exigindo ação imediata.","A elevação persistente do PSI acima de 0.90 por quatro meses consecutivos indica uma mudança estrutural na composição da carteira — possivelmente reflexo de alterações na política de originação, mudança no perfil dos canais de aquisição ou transformações macroeconômicas que modificaram o comportamento dos solicitantes de crédito. A queda simultânea de KS e AUC reforça que essa mudança populacional está degradando a capacidade preditiva do modelo: as variáveis e pesos calibrados no desenvolvimento já não capturam adequadamente o risco atual dos clientes.",,Vermelho
